Time,Tau_X,Tau_Y,Tau_Z
8.83809224739965,-0.000203393606974589,7.39206268637969e-05,0.000129340752602366
8.83909224739965,-0.000203396606234196,7.39266933885525e-05,0.000129300090229763
8.84009224739965,-0.000203399342685717,7.39327856816098e-05,0.000129259773330173
8.84109224739965,-0.000203401820050069,7.39389023247126e-05,0.0001292198054872
8.84209224739965,-0.000203404042049986,7.39450419877729e-05,0.000129180190180636
8.84309224739965,-0.000203406012324407,7.39512033006151e-05,0.000129140930746438
8.84409224739965,-0.000203407734619989,7.39573848716453e-05,0.000129102030369674
8.84509224739965,-0.000203409212585415,7.39635853124487e-05,0.000129063492223284
8.84609224739965,-0.000203410449898556,7.39698032535745e-05,0.000129025319266239
8.84709224739965,-0.000203411450248573,7.3976037372939e-05,0.000128987514368743
8.84809224739965,-0.000203412217295766,7.39822862322003e-05,0.00012895008033379
8.84909224739965,-0.000203412754686548,7.39885484530139e-05,0.000128913019823829
8.85009224739965,-0.000203413066075865,7.399482271679e-05,0.000128876335354876
8.85109224739965,-0.000203413155059816,7.40011075500313e-05,0.000128840029335395
8.85209224739965,-0.000203413025290959,7.40074016156963e-05,0.0001288041040471
8.85309224739965,-0.000203412680391614,7.40137035119933e-05,0.000128768561779544
8.85409224739965,-0.000203412123919982,7.40200118311441e-05,0.000128733404514991
8.85509224739964,-0.000203411359430193,7.40263252389541e-05,0.000128698634213205
8.85609224739964,-0.000203410390499866,7.40326422972875e-05,0.000128664252677262
8.85709224739964,-0.000203409220675342,7.40389615645884e-05,0.000128630261627329
8.85809224739964,-0.000203407853506677,7.40452816655641e-05,0.000128596662732703
8.85909224739964,-0.00020340629245299,7.40516012168424e-05,0.000128563457376232
8.86009224739964,-0.000203404541020116,7.40579187566425e-05,0.00012853064694171
8.86109224739964,-0.000203402602692529,7.4064232936321e-05,0.000128498232638538
8.86209224739964,-0.000203400480907328,7.40705423155565e-05,0.000128466215633503
8.86309224739964,-0.000203398179048185,7.40768454238972e-05,0.000128434596898058
8.86409224739964,-0.000203395700549518,7.40831409658512e-05,0.000128403377301561
8.86509224739964,-0.000203393048822319,7.40894275029788e-05,0.000128372557590544
8.86609224739964,-0.000203390227153003,7.40957036125502e-05,0.000128342138418225
8.86709224739964,-0.000203387238929715,7.41019678542355e-05,0.000128312120275977
8.86809224739964,-0.000203384087463419,7.41082188643847e-05,0.000128282503602434
8.86909224739964,-0.000203380776036413,7.41144552598854e-05,0.000128253288673936
8.87009224739964,-0.000203377307886067,7.41206756736376e-05,0.000128224475657975
8.87109224739964,-0.000203373686261883,7.41268786802874e-05,0.000128196064607364
8.87209224739964,-0.000203369914382384,7.41330630116929e-05,0.000128168055442311
8.87309224739963,-0.000203365995436976,7.41392271780929e-05,0.000128140447987476
8.87409224739963,-0.000203361932583571,7.41453698790315e-05,0.000128113242021088
8.87509224739963,-0.000203357728935615,7.41514898673856e-05,0.0001280864370892
8.87609224739963,-0.000203353387634981,7.41575857023006e-05,0.000128060032676104
8.87709224739963,-0.000203348911740908,7.41636561392355e-05,0.000128034028185586
8.87809224739963,-0.000203344304307849,7.4169699902059e-05,0.000128008422930607
8.87909224739963,-0.000203339568413781,7.41757156931472e-05,0.000127983216033077
8.88009224739963,-0.000203334706997478,7.41817022791943e-05,0.000127958406610774
8.88109224739963,-0.000203329723075031,7.41876583613098e-05,0.000127933993636965
8.88209224739963,-0.000203324619620644,7.41935828506989e-05,0.000127909975965098
8.88309224739963,-0.000203319399509977,7.41994744656495e-05,0.000127886352386214
8.88409224739963,-0.000203314065658401,7.42053320975288e-05,0.000127863121571639
8.88509224739963,-0.000203308620959894,7.4211154574288e-05,0.000127840282134819
8.88609224739963,-0.000203303068246761,7.42169408090269e-05,0.000127817832564431
8.88709224739963,-0.000203297410338656,7.42226897251614e-05,0.000127795771256788
8.88809224739963,-0.000203291650007447,7.4228400250386e-05,0.000127774096573799
8.88909224739963,-0.00020328579007651,7.42340713258247e-05,0.000127752806762942
8.89009224739963,-0.000203279833281457,7.42397020886714e-05,0.000127731899983941
8.89109224739962,-0.000203273782293203,7.42452914602114e-05,0.000127711374358583
8.89209224739962,-0.000203267639839778,7.42508385965674e-05,0.000127691227855327
8.89309224739962,-0.000203261408559548,7.42563425052081e-05,0.000127671458475929
8.89409224739962,-0.000203255091150195,7.42618024306091e-05,0.000127652064075201
8.89509224739962,-0.000203248690229497,7.42672174577526e-05,0.000127633042511507
8.89609224739962,-0.000203242208333204,7.42725868669505e-05,0.000127614391508914
8.89709224739962,-0.000203235648076073,7.42779099246633e-05,0.000127596108760855
8.89809224739962,-0.000203229012005779,7.4283185911268e-05,0.000127578191893693
8.89909224739962,-0.000203222302594774,7.42884141459513e-05,0.000127560638509478
8.90009224739962,-0.000203215522399849,7.42935940155143e-05,0.000127543446172775
8.90109224739962,-0.000203208673913632,7.42987248649062e-05,0.000127526612362807
8.90209224739962,-0.00020320175953662,7.43038062306571e-05,0.000127510134553797
8.90309224739962,-0.000203194781726078,7.43088376107987e-05,0.000127494010101436
8.90409224739962,-0.000203187742869306,7.4313818441211e-05,0.000127478236394444
8.90509224739962,-0.000203180645408959,7.43187483727779e-05,0.000127462810794515
8.90609224739962,-0.000203173491662942,7.43236269615134e-05,0.000127447730612449
8.90709224739962,-0.000203166283966487,7.43284538648532e-05,0.000127432993095372
8.90809224739962,-0.000203159024670794,7.43332288442063e-05,0.000127418595495727
8.90909224739961,-0.000203151716044117,7.43379515384331e-05,0.000127404535034209
8.91009224739961,-0.00020314436037765,7.4342621768535e-05,0.000127390808928217
8.91109224739961,-0.000203136959953683,7.43472393627455e-05,0.000127377414355903
8.91209224739961,-0.000203129517021117,7.43518041111524e-05,0.000127364348528666
8.91309224739961,-0.00020312203372431,7.43563158891947e-05,0.000127351608586194
8.91409224739961,-0.000203114512293254,7.43607746533337e-05,0.000127339191665352
8.91509224739961,-0.000203106954883728,7.43651803742195e-05,0.000127327094928011
8.91609224739961,-0.000203099363661812,7.43695330278351e-05,0.000127315315480346
8.91709224739961,-0.000203091740802868,7.43738326130417e-05,0.00012730385053147
8.91809224739961,-0.000203084088316158,7.43780792164532e-05,0.000127292697112065
8.91909224739961,-0.000203076408359972,7.43822729689577e-05,0.000127281852394537
8.92009224739961,-0.000203068702958509,7.43864138664842e-05,0.000127271313491187
8.92109224739961,-0.000203060974187322,7.43905021885358e-05,0.000127261077601099
8.92209224739961,-0.000203053224107473,7.43945380972411e-05,0.000127251141828838
8.92309224739961,-0.000203045454638328,7.43985217754931e-05,0.000127241503298894
8.92409224739961,-0.000203037667839265,7.4402453448604e-05,0.000127232159169233
8.92509224739961,-0.000203029865650037,7.44063334475477e-05,0.000127223106617164
8.92609224739961,-0.00020302204998335,7.44101620153756e-05,0.000127214342824916
8.9270922473996,-0.000203014222819543,7.44139393803005e-05,0.000127205865012701
8.9280922473996,-0.000203006385979381,7.4417665999644e-05,0.000127197670339601
8.9290922473996,-0.000202998541374442,7.44213421841186e-05,0.000127189755997034
